accession_number	Location
TGGT1_220950	PVM
TGGT1_279100	PVM
TGGT1_254470 	PVM
TGGT1_275470	PVM
TGGT1_222170	PVM
TGGT1_297880	PVM
TGGT1_258580	PVM
TGGT1_288840	PVM
TGGT1_411430	PVM
TGGT1_286450	PVM
TGGT1_270700	PVM
TGGT1_237230	PVM
TGGT1_208830	Host_Nucleus_Cytosol
TGGT1_230180	Host_Nucleus_Cytosol
TGGT1_240060	Host_Nucleus_Cytosol
TGGT1_231960	Host_Nucleus_Cytosol
TGGT1_239010	Host_Nucleus_Cytosol
TGGT1_288840	Host_Nucleus_Cytosol
TGGT1_262730	Host_Nucleus_Cytosol
TGGT1_282055	Host_Nucleus_Cytosol
TGGT1_288650	PV
TGGT1_227620	PV
TGGT1_203310	PV
TGGT1_232000 	PV
TGGT1_275440	PV
TGGT1_220240	PV
TGGT1_212300 	PV
TGGT1_310780	PV
TGGT1_247440 	PV
TGGT1_203290	PV
TGGT1_275860	PV
TGGT1_239740	PV
TGGT1_226380	PV
TGGT1_270250	PV
TGGT1_213067	PV
TGGT1_236890	PV
TGGT1_312420	PV
TGGT1_251540	PV
TGGT1_269690	PV
TGGT1_215220	PV
TGGT1_289380	PV
TGGT1_277270	PV
TGGT1_228170	PV
TGGT1_316250	PV
TGGT1_227280	PV
TGGT1_290700	PV
TGGT1_270240 	PV
TGGT1_410370	PV
TGGT1_279100A	PV
TGGT1_279100B	PV
TGGT1_411470	PV
TGGT1_410360 	PV
TGGT1_304740	PV
TGGT1_240090	PV
TGGT1_244530	PV
TGGT1_254000	PV
TGGT1_267740	PV
TGGT1_203600	PV
TGGT1_230705	PV
TGGT1_319340	PV
TGGT1_260520	PV
