accession_number	toxo_nonsecreted_gene_name	lopit_prediction
TGGT1_201260	ST3	PM - integral
TGGT1_201400	SAP18	nucleus - non-chromatin
TGGT1_201680		nucleus - non-chromatin
TGGT1_201700		nucleus - non-chromatin
TGGT1_201790		nucleus - non-chromatin
TGGT1_202160		mitochondrion - membranes
TGGT1_202230	HDAC5	nucleus - chromatin
TGGT1_202300		cytosol
TGGT1_202350		mitochondrion - soluble
TGGT1_202370		cytosol
TGGT1_202380		cytosol
TGGT1_202460		PM - peripheral 2
TGGT1_202470		nucleus - non-chromatin
TGGT1_202530		cytosol
TGGT1_202540		PM - integral
TGGT1_202770		nucleus - non-chromatin
TGGT1_202960		mitochondrion - soluble
TGGT1_203390		nucleus - chromatin
TGGT1_203490		nucleus - non-chromatin
TGGT1_203630	RPL44	60S ribosome
TGGT1_203870		nucleus - non-chromatin
TGGT1_203940		mitochondrion - membranes
TGGT1_203950		nucleus - chromatin
TGGT1_203970		ER
TGGT1_204020	RPL8	60S ribosome
TGGT1_204370		mitochondrion - membranes
TGGT1_205010		nucleus - non-chromatin
TGGT1_205040		ER
TGGT1_205180		nucleus - non-chromatin
TGGT1_205220		nucleus - non-chromatin
TGGT1_205240		ER
TGGT1_205320	PRP	cytosol
TGGT1_205340	RPS12	40S ribosome
TGGT1_205350		ER
TGGT1_205440		cytosol
TGGT1_205470		cytosol
TGGT1_205510		cytosol
TGGT1_205550		nucleus - chromatin
TGGT1_205558		cytosol
TGGT1_205600		ER
TGGT1_205700		cytosol
TGGT1_205750	SIN3	nucleus - chromatin
TGGT1_206450		nucleus - chromatin
TGGT1_206470	PDHE3II	mitochondrion - soluble
TGGT1_206690	GAPM2B	IMC
TGGT1_207060		nucleus - chromatin
TGGT1_207120		ER
TGGT1_207140	SRS49B/SAG2X	PM - peripheral 1
TGGT1_207390		nucleus - chromatin
TGGT1_207440	RPS4	40S ribosome
TGGT1_207640		cytosol
TGGT1_207760		mitochondrion - soluble
TGGT1_207770		19S proteasome
TGGT1_207830		PM - peripheral 2
TGGT1_207840	RPS17	40S ribosome
TGGT1_207990		nucleolus
TGGT1_208200		nucleus - chromatin
TGGT1_208320		nucleus - chromatin
TGGT1_208500		cytosol
TGGT1_208530		nucleus - non-chromatin
TGGT1_208560		apicoplast
TGGT1_208750		cytosol
TGGT1_208820		apicoplast
TGGT1_208842		apicoplast
TGGT1_209030	ACT1	cytosol
TGGT1_209140		cytosol
TGGT1_209430		nucleolus
TGGT1_209690		nucleus - non-chromatin
TGGT1_209800		PM - integral
TGGT1_209850		cytosol
TGGT1_209880		nucleus - chromatin
TGGT1_209910	H2Bv	nucleus - chromatin
TGGT1_209960		cytosol
TGGT1_210690	RPS6	40S ribosome
TGGT1_210750		mitochondrion - soluble
TGGT1_210778		ER
TGGT1_210800		cytosol
TGGT1_210840		cytosol
TGGT1_210960		nucleus - chromatin
TGGT1_210980		nucleus - non-chromatin
TGGT1_211020		nucleus - non-chromatin
TGGT1_211040		ER
TGGT1_211230		nucleus - chromatin
TGGT1_211300		mitochondrion - soluble
TGGT1_211470		nucleus - non-chromatin
TGGT1_211670		nucleus - non-chromatin
TGGT1_211720	AP2IV5	nucleus - chromatin
TGGT1_211890		apicoplast
TGGT1_212130		ER
TGGT1_212250		nucleus - non-chromatin
TGGT1_212290	RPS19	40S ribosome
TGGT1_212310		PM - integral
TGGT1_212930		mitochondrion - soluble
TGGT1_213000		nucleus - chromatin
TGGT1_213072		nucleus - chromatin
TGGT1_213350	RPS15	40S ribosome
TGGT1_213410		nucleus - non-chromatin
TGGT1_213420		mitochondrion - soluble
TGGT1_213690	RBX1	nucleus - non-chromatin
TGGT1_213800		cytosol
TGGT1_213830		cytosol
TGGT1_213870		cytosol
TGGT1_213900		nucleus - chromatin
TGGT1_213940		mitochondrion - soluble
TGGT1_214090		nucleus - non-chromatin
TGGT1_214150		mitochondrion - membranes
TGGT1_214180		nucleus - chromatin
TGGT1_214210		cytosol
TGGT1_214270		cytosol
TGGT1_214320	GT1	PM - integral
TGGT1_214350		cytosol
TGGT1_214440		nucleus - chromatin
TGGT1_214490		cytosol
TGGT1_214530		mitochondrion - membranes
TGGT1_214590		nucleus - non-chromatin
TGGT1_214790		mitochondrion - soluble
TGGT1_214820		nucleus - non-chromatin
TGGT1_214840	AP2X7	nucleus - chromatin
TGGT1_214920		ER
TGGT1_214960	AP2X8	nucleus - chromatin
TGGT1_215040		cytosol
TGGT1_215060		nucleus - chromatin
TGGT1_215070	FD	apicoplast
TGGT1_215090		cytosol
