"20191014_Toxoplasma_TMT_FullExperiment, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128N:126C.127C.127N, turborah.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128C:126C.127C.127N, turborah.mock.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129N:126C.127C.127N, turborah.toxo.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129C:126C.127C.127N, turborah.mock.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130N:126C.127C.127N, turborah.toxo.r3:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131N:126C.127C.127N, turborah.toxo.r4:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean"	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191014_Toxoplasma_TMT_FullExperiment unique_peptides	20191014_Toxoplasma_TMT_FullExperiment numSpectra	20191014_Toxoplasma_TMT_FullExperiment totalIntensity	20191014_Toxoplasma_TMT_FullExperiment pct_cov
0	1.682	-0.608	4.225	4.576	4.215	4.837	4.415	6.871	4.393	6.836	Q09666	Q09666	1	6331	706	689	Q09666|Q09666-2|E9PJC6	HUMAN	629603.7	78.3	1	1.1	13766.48	13476.92	Neuroblast differentiation-associated protein AHNAK	689	6331	2.01E+13	77.90%
0	1.114	-0.366	3.038	2.92	3.099	3.126	3.133	4.914	3.157	4.853	Q15149	Q15149	1	1741	420	9	Q15149|Q15149-7|A0A087X1U6|A0A075B730|P58107	HUMAN	533778	73.7	2	2.1	7145.15	138.88	Plectin	421	1741	8.40E+11	73.90%
0.726	0.118	-0.882	3.862	4.129	4.197	4.282	4.244	4.465	4.094	4.512	Q15149-6	Q15149-6	1	3	414	2	Q15149-6	HUMAN	518637.5	74.6	2	2.2	7039.86	29.42	Isoform 6 of Plectin	2	3	91800000	0.60%
0	1.361	-0.216	3.019	3.055	3.068	3.185	3.191	5.591	3.312	5.468	Q15149-4	Q15149-4	1	6	414	2	Q15149-4	HUMAN	518128.8	74.5	2	2.3	7039.39	28.95	Isoform 4 of Plectin	2	6	2.03E+09	0.40%
	1.781		3.069	2.846	3.169	3.194	3.118	3.932	3.324	3.907	Q15149-5	Q15149-5	1	1	413	1	Q15149-5	HUMAN	518207	74.3	2	2.4	7028.2	17.76	Isoform 5 of Plectin	1	1	89900000	0.20%
0	0.8	-0.483	2.916	2.964	3.113	3.096	3.225	4.728	3.163	4.721	Q15149-3	Q15149-3	1	5	413	3	Q15149-3	HUMAN	519962.5	74	2	2.5	7027.52	42.41	Isoform 3 of Plectin	3	5	3.43E+08	0.60%
											Q15149-9	Q15149-9	1	1	413	1	Q15149-9	HUMAN	516705.2	74.6	2	2.6	7023.47	13.03	Isoform 9 of Plectin	1	1	57500000	0.30%
	1.16	-2.631	3.071	2.839	3.349	3.138	3.161	5.337	3.14	5.317	Q15149-8	Q15149-8	1	1	413	1	Q15149-8	HUMAN	515637.1	74.7	2	2.7	7017.52	7.08	Isoform 8 of Plectin	1	1	1.42E+08	0.20%
0.289	0	-0.893	4.281	4.671	4.369	4.835	4.452	3.872	4.446	4.052	Q8NF91	Q8NF91	1	747	291	5	Q8NF91|E7ENN3|Q8NF91-7|Q8NF91-2|Q8NF91-8|Q8NF91-11|Q5JV20|Q8NF91-12|Q8NF91-10|E9PEL9|Q8NF91-6|Q8NF91-5|F5GXQ8|F5H4Q0|F5H422|A0A087WYJ5	HUMAN	1017743.3	37.5	3	3.1	4875.74	85.3	Nesprin-1	291	747	9.95E+10	37.50%
0.828	0	-1.328	4.543	4.892	4.895	5.474	4.95	3.624	4.687	3.96	Q8NF91-4	Q8NF91-4	1	8	288	2	Q8NF91-4|A0A0C4DG40|Q8NF91-3|Q8NF91-9|F8WAI0	HUMAN	1011896.8	37.3	3	3.2	4829.19	38.75	Isoform 4 of Nesprin-1	2	8	6.38E+08	0.20%
0	0.19	-0.858	3.961	4.19	4.063	4.342	4.121	4.144	4.087	4.232	Q8WXH0-2	Q8WXH0-2	1	117	88	82	Q8WXH0-2|Q8WXH0|A0A0A0MRE3|G3V5X4|A0A0C4DGK3|Q8WXH0-7|Q8WXH0-13|Q8WXH0-3|Q8WXH0-4|Q8WXH0-10|Q8WXH0-5|Q8WXH0-12|Q8WXH0-11|Q8WXH0-6|Q8WXH0-8|Q8WXH0-9	HUMAN	804724.5	14.1	3	3.3	1178.43	1094.2	Isoform 2 of Nesprin-2	82	117	1.16E+10	13.60%
0	2.06	-0.659	2.613	2.623	2.739	2.84	2.796	6.376	2.735	6.548	P21333	P21333	1	1331	239	219	P21333|P21333-2|Q5HY54|Q60FE5|A0A087WWY3	HUMAN	283472.4	80.2	4	4.1	4802.24	4500.33	Filamin-A	239	1331	1.79E+12	80.20%
0	0.781	-0.565	2.65	2.598	2.672	2.818	2.698	4.553	2.633	4.688	Q14315	Q14315	1	361	148	125	Q14315|Q14315-2	HUMAN	293584.3	59.4	4	4.2	2385.72	2039.31	Filamin-C	125	361	9.94E+10	54.80%
