20191004_Toxoplasma_PMV_TMT, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 128N:126C.127C.127N, turborah.toxo.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 128C:126C.127C.127N, turborah.mock.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 129N:126C.127C.127N, turborah.toxo.r2:control.mean	20191004_Toxoplasma_PMV_TMT, 129C:126C.127C.127N, turborah.mock.r2:control.mean	20191004_Toxoplasma_PMV_TMT, 130N:126C.127C.127N, turborah.toxo.r3:control.mean	20191004_Toxoplasma_PMV_TMT, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 131N:126C.127C.127N, turborah.toxo.r4:control.mean	20191004_Toxoplasma_PMV_TMT, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191004_Toxoplasma_PMV_TMT unique_peptides	20191004_Toxoplasma_PMV_TMT numSpectra	20191004_Toxoplasma_PMV_TMT totalIntensity	20191004_Toxoplasma_PMV_TMT pct_cov
0	1.624	-0.665	4.114	4.409	4.092	4.619	4.295	6.686	4.258	6.699	Q09666	Q09666	1	2015	623	607	Q09666|Q09666-2|E9PJC6	HUMAN	629603.7	75.6	1	1.1	11547.5	11286.16	Neuroblast differentiation-associated protein AHNAK	607	2015	1.31e+13	74.3%
0	1.094	-0.467	2.933	2.913	3.05	3.054	3.063	4.839	3.103	4.791	Q15149	Q15149	1	562	367	7	Q15149|Q15149-2|Q15149-5|Q15149-8|Q15149-7|A0A087X1U6|A0A075B730|P58107	HUMAN	533778	69.9	2	2.1	5738.26	81.48	Plectin	369	562	6.25e+11	70.1%
	0.428	-0.619	3.165	3.293	3.042	3.138	3.23	4.168	3.264	4.24	Q15149-6	Q15149-6	1	2	363	2	Q15149-6	HUMAN	518637.5	71.4	2	2.2	5681.56	20.15	Isoform 6 of Plectin	2	2	1.52e+08	0.6%
											Q15149-9	Q15149-9	1	1	362	1	Q15149-9	HUMAN	516705.2	71.4	2	2.3	5677.73	16.32	Isoform 9 of Plectin	1	1	7160000	0.3%
	0.535	-1.211	2.341	2.417	2.355	2.65	2.338	3.843	2.667	4.208	Q15149-4	Q15149-4	1	1	362	1	Q15149-4	HUMAN	518128.8	71	2	2.4	5672.7	11.29	Isoform 4 of Plectin	1	1	7.25e+08	0.1%
	0.337	-1.649	2.494	2.427	2.523	2.409	2.263	4.529	2.314	4.462	Q15149-3	Q15149-3	1	1	361	1	Q15149-3	HUMAN	519962.5	70.5	2	2.5	5665.45	16.9	Isoform 3 of Plectin	1	1	1.85e+08	0.2%
0	1.373	-2.616	1.811	2.013	1.696	1.935	2.045	3.476	1.749	3.722	P35579	P35579	1	525	220	190	P35579|P35579-2|Q5BKV1|A0A0C4DFM8|A0A087X0T3|A7E2Y1|A1L2Z2|P11055|Q9UKX3|P13533|P12882|Q9UKX2|Q9Y623|P12883|P13535	HUMAN	227783.5	74.7	3	3.1	3822.67	3343.25	Myosin-9	221	525	1.39e+12	74.7%
0	1.123	-3.07	2.016	2.125	1.879	2.008	2.139	3.047	1.871	3.346	P35580	P35580	1	224	164	133	P35580|P35580-3|P35580-2|P35580-5|P35580-4	HUMAN	229964.9	67.3	3	3.2	2715.89	2227.44	Myosin-10	133	224	1.5e+11	57.2%
0	1.887	-0.747	2.682	2.682	2.792	2.786	2.855	6.259	2.802	6.485	P21333	P21333	1	400	203	187	P21333|P21333-2|Q5HY54|Q60FE5|A0A087WWY3	HUMAN	283472.4	76.9	4	4.1	3733.1	3488.23	Filamin-A	203	400	9.81e+11	76.9%
0	0.789	-0.629	2.606	2.585	2.662	2.73	2.623	4.389	2.581	4.619	Q14315	Q14315	1	116	105	90	Q14315|Q14315-2	HUMAN	293584.3	44.2	4	4.2	1526.16	1292.23	Filamin-C	90	116	4.88e+10	39.8%
