"20191014_Toxoplasma_TMT_FullExperiment, 126C, ctrl.turbo.rah.nobiotin"	"20191014_Toxoplasma_TMT_FullExperiment, 127N, ctrl.turbo.cyto.nobiotin"	"20191014_Toxoplasma_TMT_FullExperiment, 127C, ctrl.noturbo.nobiotin"	"20191014_Toxoplasma_TMT_FullExperiment, 128N, turborah.toxo.r1"	"20191014_Toxoplasma_TMT_FullExperiment, 128C, turborah.mock.r1"	"20191014_Toxoplasma_TMT_FullExperiment, 129N, turborah.toxo.r2"	"20191014_Toxoplasma_TMT_FullExperiment, 129C, turborah.mock.r2"	"20191014_Toxoplasma_TMT_FullExperiment, 130N, turborah.toxo.r3"	"20191014_Toxoplasma_TMT_FullExperiment, 130C, turbocyto.toxo.r1"	"20191014_Toxoplasma_TMT_FullExperiment, 131N, turborah.toxo.r4"	"20191014_Toxoplasma_TMT_FullExperiment, 131C, turbocyto.toxo.r2"	"20191014_Toxoplasma_TMT_FullExperiment, 126C.127C.127N, control.mean"	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191014_Toxoplasma_TMT_FullExperiment unique_peptides	20191014_Toxoplasma_TMT_FullExperiment numSpectra	20191014_Toxoplasma_TMT_FullExperiment totalIntensity	20191014_Toxoplasma_TMT_FullExperiment pct_cov
296053888	3036081225	140117202	17850702107	24744611779	17670592215	30439686836	20512002854	1.27624E+11	20643054617	1.31345E+11	344093763	Q09666	Q09666	1	6331	706	689	Q09666|Q09666-2|E9PJC6	HUMAN	629603.7	78.3	1	1.1	13766.48	13476.92	Neuroblast differentiation-associated protein AHNAK	689	6331	2.01E+13	77.90%
172018279	428500785	129884668	1573588031	1446618519	1620142933	1710004813	1669681743	5890201994	1710805020	5650963998	181324369	Q15149	Q15149	1	1741	420	9	Q15149|Q15149-7|A0A087X1U6|A0A075B730|P58107	HUMAN	533778	73.7	2	2.1	7145.15	138.88	Plectin	421	1741	8.40E+11	73.90%
145318	120722	47708	1488822	1855989	1922113	2067567	1984739	2479112	1854684	2433441	105899	Q15149-6	Q15149-6	1	3	414	2	Q15149-6	HUMAN	518637.5	74.6	2	2.2	7039.86	29.42	Isoform 6 of Plectin	2	3	91800000	0.60%
392371	1064505	315313	3204472	3036432	3473917	3459467	3413208	18072015	3598787	17443200	383254	Q15149-4	Q15149-4	1	6	414	2	Q15149-4	HUMAN	518128.8	74.5	2	2.3	7039.39	28.95	Isoform 4 of Plectin	2	6	2.03E+09	0.40%
40402	138844		339108	290535	363365	369674	350758	616673	404595	606195	40402	Q15149-5	Q15149-5	1	1	413	1	Q15149-5	HUMAN	518207	74.3	2	2.4	7028.2	17.76	Isoform 5 of Plectin	1	1	89900000	0.20%
190987	298375	114601	1805749	1799337	1947301	1890289	2116319	7473252	2077683	7075086	188196	Q15149-3	Q15149-3	1	5	413	3	Q15149-3	HUMAN	519962.5	74	2	2.5	7027.52	42.41	Isoform 3 of Plectin	3	5	3.43E+08	0.60%
												Q15149-9	Q15149-9	1	1	413	1	Q15149-9	HUMAN	516705.2	74.6	2	2.6	7023.47	13.03	Isoform 9 of Plectin	1	1	57500000	0.30%
117570	262733	18981	987859	841101	1197773	1034982	1051316	4753595	1036298	4686484	117570	Q15149-8	Q15149-8	1	1	413	1	Q15149-8	HUMAN	515637.1	74.7	2	2.7	7017.52	7.08	Isoform 8 of Plectin	1	1	1.42E+08	0.20%
33007373	25664085	9889157	536920951	695657925	548597846	768265865	586583402	316265339	575679945	356448696	21864473	Q8NF91	Q8NF91	1	747	291	5	Q8NF91|E7ENN3|Q8NF91-7|Q8NF91-2|Q8NF91-8|Q8NF91-11|Q5JV20|Q8NF91-12|Q8NF91-10|E9PEL9|Q8NF91-6|Q8NF91-5|F5GXQ8|F5H4Q0|F5H422|A0A087WYJ5	HUMAN	1017743.3	37.5	3	3.1	4875.74	85.3	Nesprin-1	291	747	9.95E+10	37.50%
579573	212453	45882	4591065	5755845	5562144	12756846	5792420	1453813	5223107	2161561	205044	Q8NF91-4	Q8NF91-4	1	8	288	2	Q8NF91-4|A0A0C4DG40|Q8NF91-3|Q8NF91-9|F8WAI0	HUMAN	1011896.8	37.3	3	3.2	4829.19	38.75	Isoform 4 of Nesprin-1	2	8	6.38E+08	0.20%
4348093	5494079	1356982	64634090	68162886	65084580	77262247	69662986	71664170	69492162	81691083	3194378	Q8WXH0-2	Q8WXH0-2	1	117	88	82	Q8WXH0-2|Q8WXH0|A0A0A0MRE3|G3V5X4|A0A0C4DGK3|Q8WXH0-7|Q8WXH0-13|Q8WXH0-3|Q8WXH0-4|Q8WXH0-10|Q8WXH0-5|Q8WXH0-12|Q8WXH0-11|Q8WXH0-6|Q8WXH0-8|Q8WXH0-9	HUMAN	804724.5	14.1	3	3.3	1178.43	1094.2	Isoform 2 of Nesprin-2	82	117	1.16E+10	13.60%
66324041	590903470	36122555	550747238	528474811	592821276	674670006	626845009	12912259188	612224490	13648630445	68818043	P21333	P21333	1	1331	239	219	P21333|P21333-2|Q5HY54|Q60FE5|A0A087WWY3	HUMAN	283472.4	80.2	4	4.1	4802.24	4500.33	Filamin-A	239	1331	1.79E+12	80.20%
27738199	53186208	19840889	181718881	176019859	190770669	209143389	188135848	686788345	182629468	753149430	29640478	Q14315	Q14315	1	361	148	125	Q14315|Q14315-2	HUMAN	293584.3	59.4	4	4.2	2385.72	2039.31	Filamin-C	125	361	9.94E+10	54.80%
2713501	6015609	1370649	18658320	17914825	20383683	20443010	19633653	102306839	19632721	106139733	2744666	O75369-8	O75369-8	1	102	71	54	O75369-8|O75369|O75369-9|O75369-2|O75369-3|O75369-6|O75369-4|O75369-5|O75369-7|E7EN95|A0A0A0MT44	HUMAN	283797.6	32.7	4	4.3	1160.22	871.14	Isoform 8 of Filamin-B	54	102	9.27E+09	28.60%
1052625565	2971088483	27947598	3051876149	3643704119	2776411463	3520128984	3580247017	9253422497	2851637534	11100798544	1052376976	P35579	P35579	1	1520	254	212	P35579|P35579-2|Q5BKV1|A0A0C4DFM8|A1L2Z2|A0A087X0T3|A7E2Y1|P11055|Q9UKX3|P13533|P12882|Q9UKX2|Q9Y623|P12883|P13535	HUMAN	227783.5	78.4	5	5.1	4603.03	3883.88	Myosin-9	257	1520	2.37E+12	78.40%
217688319	494109254	6459186	718798950	763582108	620522809	765315401	757360235	1252473748	619719244	1567486562	217696061	P35580	P35580	1	516	198	156	P35580|P35580-3|P35580-2|P35580-5|P35580-4	HUMAN	229964.9	70.7	5	5.2	3376.74	2677.8	Myosin-10	156	516	2.39E+11	58.10%
19411	55758	10511	135561	129007	140150	135147	131660	587156	113296	647889	19411	P35749-2	P35749-2	1	3	40	3	P35749-2|P35749|P35749-3|P35749-4	HUMAN	228941.8	17.1	5	5.3	630.65	42.3	Isoform 2 of Myosin-11	3	3	4.00E+07	2.10%
39054624	38029293	12821899	884969934	790770670	930645350	1003668233	951146294	758676461	959565249	838748131	32141039	Q14789-2	Q14789-2	1	752	251	3	Q14789-2|F8WF12	HUMAN	378557.2	69.4	6	6.1	4328.09	70.72	Isoform 2 of Golgin subfamily B member 1	251	752	1.85E+11	69.60%
	4036		108439	97509	127000	111756	123054	243758	106150	182444		Q14789	Q14789	1	2	250	1	Q14789	HUMAN	377438.9	69.3	6	6.2	4305.06	28.06	Golgin subfamily B member 1	1	2	1.31E+08	0.90%
