id,ctrl.turbo.rah.nobiotin,ctrl.turbo.cyto.nobiotin,ctrl.noturbo.nobiotin,turborah.toxo.r1,turborah.mock.r1,turborah.toxo.r2,turborah.mock.r2,turborah.toxo.r3,turbocyto.toxo.r1,turborah.toxo.r4,turbocyto.toxo.r2,turborah.vs.turbocyto.logFC,turborah.vs.turbocyto.P.Value,turborah.vs.turbocyto.adj.P.Val,turborah.vs.turbocyto.Q.Value,turborah.toxo.vs.mock.logFC,turborah.toxo.vs.mock.P.Value,turborah.toxo.vs.mock.adj.P.Val,turborah.toxo.vs.mock.Q.Value,turborah.toxo.vs.ctrl.logFC,turborah.toxo.vs.ctrl.P.Value,turborah.toxo.vs.ctrl.adj.P.Val,turborah.toxo.vs.ctrl.Q.Value,turbocyto.toxo.vs.ctrl.logFC,turbocyto.toxo.vs.ctrl.P.Value,turbocyto.toxo.vs.ctrl.adj.P.Val,turbocyto.toxo.vs.ctrl.Q.Value,turborah.toxo.vs.all.logFC,turborah.toxo.vs.all.P.Value,turborah.toxo.vs.all.adj.P.Val,turborah.toxo.vs.all.Q.Value,turborah.vs.turbocyto.zscore,turborah.toxo.vs.mock.zscore,turborah.toxo.vs.ctrl.zscore,turbocyto.toxo.vs.ctrl.zscore,id.nodash,accession_number,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,entry_name,X20191014_Toxoplasma_TMT_FullExperiment.unique_peptides,X20191014_Toxoplasma_TMT_FullExperiment.numSpectra,X20191014_Toxoplasma_TMT_FullExperiment.totalIntensity,X20191014_Toxoplasma_TMT_FullExperiment.pct_cov,subcellular.location,gene,Location,toxo_gene_name,toxo_nonsecreted_gene_name,lopit_prediction,has.imputed
Q09666,-6.919793537852398,-3.5615148553632463,-7.9990192539152,-1.0058163287985646,-0.5346827407300918,-1.0204467570999232,-0.23584363206020353,-0.8053287807045714,1.8320306032658058,-0.796140681877695,1.8734922278371549,-2.759694552671668,0.004087179507258925,0.01109705318864923,0.01109705318864923,-0.5216699507250409,0.5273652194608327,0.999812317632854,0.999812317632854,5.253176078590093,3.4111773041934537e-6,4.1009285074934096e-6,4.1009285074934096e-6,8.012870631261762,1.9366379667299696e-7,2.6029583795977304e-7,2.6029583795977304e-7,-2.3744313662765206,0.03845424701438231,0.08767181349311048,0.08767181349311048,-1.9943277642055979,-1.4135567163019036,1.9936449782256953,3.3836880543947796,Q09666,Q09666,1,6331,706,689,Q09666|Q09666-2|E9PJC6,HUMAN,629603.7,78.3,1,1.1,13766.48,13476.92,Neuroblast differentiation-associated protein AHNAK,689,6331,20100000000000,77.90%,SUBCELLULAR LOCATION: Nucleus.,AHNAK,Unknown,NA,NA,NA,FALSE
Q15149,-3.539524301576713,-2.2227883309446357,-3.944855037739298,-0.3461001940025685,-0.46747355770380333,-0.3040369865350164,-0.22615769762593443,-0.2605849456712824,1.5581590261947253,-0.22548273774917954,1.4983389145127655,-1.812300186343257,4.2864562140030487e-4,0.002594962796032794,0.002594962796032794,0.06276441167535723,0.8761331453470865,0.999812317632854,0.999812317632854,2.9516713407640376,7.21405632234153e-7,9.949104173861149e-7,9.949104173861149e-7,4.763971527107294,1.7998161721118927e-8,3.9640482488636285e-8,3.9640482488636285e-8,-1.4654845586783882,0.012353805911647236,0.06006728795479442,0.06006728795479442,-0.9333899614027671,-0.16425422016905825,-0.3914249807782091,0.41629402992556913,Q15149,Q15149,1,1741,420,9,Q15149|Q15149-7|A0A087X1U6|A0A075B730|P58107,HUMAN,533778,73.7,2,2.1,7145.15,138.88,Plectin,421,1741,840000000000,73.90%,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:12482924}. Cell junction, hemidesmosome {ECO:0000269|PubMed:12482924}.",PLEC,Unknown,NA,NA,NA,FALSE
Q15149-6,-3.3589258839305987,-3.626450686949379,-4.965836186749062,-0.00203992529042437,0.3159769556350648,0.3664819495287342,0.4717228766801551,0.4127380961355687,0.7336122458546622,0.31496219787765467,0.7067865918245787,-0.44716383927673703,0.2723292381784438,0.33428512799625376,0.33428512799625376,-0.12081433659472662,0.762054266774391,0.999812317632854,0.999812317632854,4.25677316543923,6.806083026601788e-9,3.6019828917736864e-8,3.6019828917736864e-8,4.703937004715967,1.8537045604823264e-8,4.040645958834865e-8,4.040645958834865e-8,-0.8410137554343469,0.11820498126141023,0.17964395849386827,0.17964395849386827,0.5953554143967124,-0.5566770536054565,0.9610637212064835,0.36146127664674704,Q15149,Q15149-6,1,3,414,2,Q15149-6,HUMAN,518637.5,74.6,2,2.2,7039.86,29.42,Isoform 6 of Plectin,2,3,91800000,0.60%,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:12482924}. Cell junction, hemidesmosome {ECO:0000269|PubMed:12482924}.",PLEC,Unknown,NA,NA,NA,FALSE
Q15149-4,-3.735107757323296,-2.295215352688027,-4.0505415218075,-0.7053114149126628,-0.7830210180405002,-0.5888347937577069,-0.5948482998679113,-0.6142697442868874,1.7902873893266622,-0.5378873622980955,1.7391947465459412,-2.3763168967501396,4.017674166866572e-5,7.894552286325557e-4,7.894552286325557e-4,0.0773588301403676,0.8508086450594139,0.999812317632854,0.999812317632854,2.748712381792437,2.1123719162975907e-6,2.6291958031032926e-6,2.6291958031032926e-6,5.125029278542576,9.268572921726473e-9,2.686714348586894e-8,2.686714348586894e-8,-1.687382237795934,0.005982396724191089,0.05760728849389117,0.05760728849389117,-1.5650030158503907,-0.13305680162053465,-0.6017531665073039,0.7460674638642566,Q15149,Q15149-4,1,6,414,2,Q15149-4,HUMAN,518128.8,74.5,2,2.3,7039.39,28.95,Isoform 4 of Plectin,2,6,2030000000,0.40%,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:12482924}. Cell junction, hemidesmosome {ECO:0000269|PubMed:12482924}.",PLEC,Unknown,NA,NA,NA,FALSE
Q15149-5,-3.1231378793269067,-1.3421716622671507,-6.714578912619483,-0.053891676372957324,-0.2769245243561504,0.04578296696987849,0.07061708292585651,-0.0051604873503623165,0.8088691855042791,0.20084199493217783,0.7841454563805487,-0.7496141213977298,0.4369428239631178,0.5000600722148942,0.5000600722148942,0.15004692025983124,0.8750230527074712,0.999812317632854,0.999812317632854,3.7735226842825313,4.4185274091031347e-4,4.605014856745503e-4,4.605014856745503e-4,4.523136805680261,4.3099612258746915e-4,4.468464243681913e-4,4.468464243681913e-4,-0.6464604006825827,0.6013319735460146,0.6556534735504264,0.6556534735504264,0.2566570336853054,0.022323200425206274,0.46026692233926536,0.19632674552038762,Q15149,Q15149-5,1,1,413,1,Q15149-5,HUMAN,518207,74.3,2,2.4,7028.2,17.76,Isoform 5 of Plectin,1,1,89900000,0.20%,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:12482924}. Cell junction, hemidesmosome {ECO:0000269|PubMed:12482924}.",PLEC,Unknown,NA,NA,NA,TRUE
Q15149-3,-3.6725897273635617,-3.0289375070723983,-4.409444535377595,-0.4315387020583001,-0.43667065749938727,-0.32266017061321267,-0.3655292533351611,-0.20257896729201383,1.6176000976798344,-0.22916051993081338,1.538611610992283,-1.8745904443096437,9.422633709714408e-5,0.0010696902630860348,0.0010696902630860348,0.10461536544368905,0.7674713573106778,0.999812317632854,0.999812317632854,3.407172666630934,2.5124591032689285e-8,8.149232163335365e-8,8.149232163335365e-8,5.281763110940577,8.775705201824394e-10,1.6178440680719314e-8,1.6178440680719314e-8,-1.4734904888923697,0.005394002081558867,0.05760728849389117,0.05760728849389117,-1.0031455898629549,-0.07479250406877024,0.08061512009847724,0.8892208899264145,Q15149,Q15149-3,1,5,413,3,Q15149-3,HUMAN,519962.5,74,2,2.5,7027.52,42.41,Isoform 3 of Plectin,3,5,343000000,0.60%,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:12482924}. Cell junction, hemidesmosome {ECO:0000269|PubMed:12482924}.",PLEC,Unknown,NA,NA,NA,FALSE
Q15149-8,-3.627956512276259,-2.467879072663456,-6.258848584250983,-0.5571713546222468,-0.7891974403317441,-0.27919387935930046,-0.4899427190049291,-0.4673520226656796,1.7094705966460826,-0.4881094691021812,1.6889575610987713,-2.1471707603097783,0.007738417677279582,0.01767628539999681,0.01767628539999681,0.19161339823098444,0.7855886367184776,0.999812317632854,0.999812317632854,3.670271374959548,3.170005516104885e-5,3.458280767811295e-5,3.458280767811295e-5,5.817442135269326,1.4247352956602191e-6,1.6574551255909634e-6,1.6574551255909634e-6,-1.507600680641442,0.11319317078337794,0.17382319417166028,0.17382319417166028,-1.3083941450820782,0.11117681346658972,0.353266666356008,1.3784853099245586,Q15149,Q15149-8,1,1,413,1,Q15149-8,HUMAN,515637.1,74.7,2,2.7,7017.52,7.08,Isoform 8 of Plectin,1,1,142000000,0.20%,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:12482924}. Cell junction, hemidesmosome {ECO:0000269|PubMed:12482924}.",PLEC,Unknown,NA,NA,NA,FALSE
Q8NF91,-3.6164075709415826,-3.9794450673057833,-5.355276443482933,0.40744190331422303,0.7811102682427312,0.4384811600691259,0.92433785679164715,0.5350684515161328,-0.3561323447575765,0.5079991562993874,-0.18357335442753048,0.7421005173922708,0.08430195118718543,0.12192967116983683,0.12192967116983683,-0.3804763947174718,0.3568501073153604,0.999812317632854,0.999812317632854,4.78929069504315,1.9231399986434987e-9,1.707498417189903e-8,1.707498417189903e-8,4.047190177650879,1.5568650220508193e-7,2.1479911784657101e-7,2.1479911784657101e-7,-0.11062354512491829,0.8331764272753895,0.860389454661979,0.860389454661979,1.9271508718744097,-1.1117376014339095,1.5129164033352107,-0.238380869183522,Q8NF91,Q8NF91,1,747,291,5,Q8NF91|E7ENN3|Q8NF91-7|Q8NF91-2|Q8NF91-8|Q8NF91-11|Q5JV20|Q8NF91-12|Q8NF91-10|E9PEL9|Q8NF91-6|Q8NF91-5|F5GXQ8|F5H4Q0|F5H422|A0A087WYJ5,HUMAN,1017743.3,37.5,3,3.1,4875.74,85.3,Nesprin-1,291,747,99500000000,37.50%,"SUBCELLULAR LOCATION: Nucleus outer membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Nucleus. Nucleus envelope. Cytoplasm, cytoskeleton. Cytoplasm, myofibril, sarcomere. Note=The largest part of the protein is cytoplasmic, while its C-terminal part is associated with the nuclear envelope, most probably the outer nuclear membrane. In skeletal and smooth muscles, a significant amount is found in the sarcomeres. In myoblasts, relocalized from the nuclear envelope to the nucleus and cytoplasm during cell differentiation.; SUBCELLULAR LOCATION: Isoform GSRP-56: Golgi apparatus {ECO:0000269|PubMed:16875688}.",SYNE1,Unknown,NA,NA,NA,FALSE
Q8NF91-4,-2.791347869516105,-4.239194540794576,-6.450338071527108,0.19441869611008517,0.5206175803860533,0.47123093386156734,1.668789614782312,0.5297560522780176,-1.4645684504035381,0.3804980972386208,-0.8923366115054678,1.5724284758265754,0.03957766607492511,0.06441126775485932,0.06441126775485932,-0.7007276527121096,0.32892088025079624,0.999812317632854,0.999812317632854,4.887602772151336,1.3975305742882715e-6,1.7969767893642048e-6,1.7969767893642048e-6,3.315174296324761,4.656585141585274e-4,4.824878264619596e-4,4.824878264619596e-4,0.47772487824239307,0.601580958291612,0.6556534735504264,0.6556534735504264,2.8569920775394233,-1.7963152405020948,1.6147980887665838,-0.9069702843752875,Q8NF91,Q8NF91-4,1,8,288,2,Q8NF91-4|A0A0C4DG40|Q8NF91-3|Q8NF91-9|F8WAI0,HUMAN,1011896.8,37.3,3,3.2,4829.19,38.75,Isoform 4 of Nesprin-1,2,8,638000000,0.20%,"SUBCELLULAR LOCATION: Nucleus outer membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Nucleus. Nucleus envelope. Cytoplasm, cytoskeleton. Cytoplasm, myofibril, sarcomere. Note=The largest part of the protein is cytoplasmic, while its C-terminal part is associated with the nuclear envelope, most probably the outer nuclear membrane. In skeletal and smooth muscles, a significant amount is found in the sarcomeres. In myoblasts, relocalized from the nuclear envelope to the nucleus and cytoplasm during cell differentiation.; SUBCELLULAR LOCATION: Isoform GSRP-56: Golgi apparatus {ECO:0000269|PubMed:16875688}.",SYNE1,Unknown,NA,NA,NA,FALSE
Q8WXH0-2,-3.597239686966767,-3.259744829772128,-5.27722090109125,0.29660089711016213,0.373292030086521,0.3066213868634809,0.5540692456178364,0.40469792309407104,0.4455576035091501,0.4011558757461793,0.634484219286971,-0.1877518906945871,0.6771748747243723,0.7261117594905077,0.7261117594905077,-0.1114116171487054,0.8044776892108457,0.999812317632854,0.999812317632854,4.397004159980189,2.1057693101810724e-8,7.306479565479556e-8,7.306479565479556e-8,4.584756050674776,1.1589114343886637e-7,1.660566447495489e-7,1.660566447495489e-7,-0.6514325285467657,0.27236799947347995,0.3405103260232013,0.3405103260232013,0.8858573980808153,-0.53657754948645775,1.1063863559609983,0.2526069110556033,Q8WXH0,Q8WXH0-2,1,117,88,82,Q8WXH0-2|Q8WXH0|A0A0A0MRE3|G3V5X4|A0A0C4DGK3|Q8WXH0-7|Q8WXH0-13|Q8WXH0-3|Q8WXH0-4|Q8WXH0-10|Q8WXH0-5|Q8WXH0-12|Q8WXH0-11|Q8WXH0-6|Q8WXH0-8|Q8WXH0-9,HUMAN,804724.5,14.1,3,3.3,1178.43,1094.2,Isoform 2 of Nesprin-2,82,117,11600000000,13.60%,"SUBCELLULAR LOCATION: Nucleus outer membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Sarcoplasmic reticulum membrane {ECO:0000305|PubMed:15671068}; Single-pass type IV membrane protein {ECO:0000305}. Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Cytoplasm, cytoskeleton. Mitochondrion. Nucleus, nucleoplasm. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000305|PubMed:15671068}. Note=Different isoform patterns are found in the different compartments of the cell. The isoforms having the C-terminal transmembrane span can be found in several organellar membranes like the nuclear envelope, the sarcoplasmic reticulum of myoblasts, or the lamellipodia and focal adhesions at the cell membrane. The largest part of the outer nuclear membrane-associated protein is cytoplasmic, while its C-terminal part is associated with the nuclear envelope, most probably the outer nuclear membrane. Remains associated with the nuclear envelope during its breakdown in mitotic cells. Shorter soluble isoforms can be found in the cytoplasm and within the nucleus.; SUBCELLULAR LOCATION: Isoform 8: Cell junction, focal adhesion {ECO:0000269|PubMed:22768332}. Note=In U2OS cells. {ECO:0000269|PubMed:22768332}.",SYNE2,Unknown,NA,NA,NA,FALSE
