accession_number	numObservableTrypticPeptides	proteinLength
MINITURBO	19	416
TGGT1_292920-t26_1-p1	44	861
TGGT1_292935-t26_1-p1	43	847
TGGT1_292950-t26_1-p1	87	1979
TGGT1_292960-t26_1-p1	11	625
TGGT1_292975-t26_1-p1	125	2746
TGGT1_293000-t26_1-p1	108	2238
TGGT1_293010-t26_1-p1	1	120
TGGT1_293020-t26_1-p1	26	623
TGGT1_293030-t26_1-p1	76	2318
TGGT1_293040-t26_1-p1	11	292
TGGT1_293050-t26_1-p1	10	146
TGGT1_293060-t26_1-p1	34	740
TGGT1_293170-t26_1-p1	154	3263
TGGT1_293180-t26_1-p1	29	578
TGGT1_293190-t26_1-p1	27	682
TGGT1_293200-t26_1-p1	4	112
TGGT1_293210-t26_1-p1	3	132
TGGT1_293220-t26_1-p1	56	1327
TGGT1_293230-t26_1-p1	22	459
TGGT1_293240-t26_1-p1	48	1106
TGGT1_293250-t26_1-p1	63	1439
TGGT1_293252-t26_1-p1	36	842
TGGT1_293254-t26_1-p1	10	170
TGGT1_293256-t26_1-p1	8	173
TGGT1_293258-t26_1-p1	65	1571
TGGT1_293260-t26_1-p1	55	1152
TGGT1_293270-t26_1-p1	9	171
TGGT1_293280-t26_1-p1	107	2572
TGGT1_293290-t26_1-p1	10	271
TGGT1_293300-t26_1-p1	20	588
TGGT1_293310-t26_1-p1	5	121
TGGT1_293320-t26_1-p1	60	1860
TGGT1_293330-t26_1-p1	66	1530
TGGT1_293340-t26_1-p1	8	212
TGGT1_293350-t26_1-p1	31	611
TGGT1_293360-t26_1-p1	11	243
TGGT1_293370-t26_1-p1	44	1305
TGGT1_293380-t26_1-p1	30	741
TGGT1_293390-t26_1-p1	17	399
TGGT1_293400-t26_1-p1	9	258
TGGT1_293410-t26_1-p1	2	77
TGGT1_293420-t26_1-p1	22	575
TGGT1_293430-t26_1-p1	14	411
TGGT1_293440-t26_1-p1	21	538
TGGT1_293450-t26_1-p1	8	253
TGGT1_293460-t26_1-p1	71	1385
TGGT1_293470-t26_1-p1	21	400
TGGT1_293480-t26_1-p1	62	1255
TGGT1_293490-t26_1-p1	19	521
TGGT1_293500-t26_1-p1	89	1771
TGGT1_293510-t26_1-p1	19	392
TGGT1_293520-t26_1-p1	9	221
TGGT1_293540-t26_1-p1	34	713
TGGT1_293550-t26_1-p1	37	882
TGGT1_293560-t26_1-p1	76	2154
TGGT1_293570-t26_1-p1	20	390
TGGT1_293580-t26_1-p1	11	170
TGGT1_293590-t26_1-p1	26	551
TGGT1_293600-t26_1-p1	21	396
TGGT1_293610-t26_1-p1	15	403
TGGT1_293620-t26_1-p1	40	920
TGGT1_293630-t26_1-p1	34	811
TGGT1_293650-t26_1-p1	6	114
TGGT1_293660-t26_1-p1	50	1183
TGGT1_293670-t26_1-p1	19	418
TGGT1_293680-t26_1-p1	28	643
TGGT1_293690-t26_1-p1	8	165
TGGT1_293700-t26_1-p1	24	493
TGGT1_293710-t26_1-p1	21	687
TGGT1_293720-t26_1-p1	12	336
TGGT1_293730-t26_1-p1	45	971
TGGT1_293740-t26_1-p1	5	96
TGGT1_293760-t26_1-p1	24	524
TGGT1_293770-t26_1-p1	26	714
TGGT1_293780-t26_1-p1	15	306
TGGT1_293790-t26_1-p1	15	298
TGGT1_293800-t26_1-p1	7	191
TGGT1_293810-t26_1-p1	16	369
TGGT1_293820-t26_1-p1	100	2269
TGGT1_293830-t26_1-p1	19	512
TGGT1_293840-t26_1-p1	101	2294
TGGT1_293850-t26_1-p1	26	447
TGGT1_293860-t26_1-p1	12	234
TGGT1_293870-t26_1-p1	6	106
TGGT1_293890-t26_1-p1	18	442
TGGT1_293900-t26_1-p1	21	534
TGGT1_294010-t26_1-p1	34	828
TGGT1_294020-t26_1-p1	17	768
TGGT1_294025-t26_1-p1	13	264
TGGT1_294030-t26_1-p1	5	108
TGGT1_294040-t26_1-p1	15	400
TGGT1_294050-t26_1-p1	21	574
TGGT1_294060-t26_1-p1	93	2407
TGGT1_294180-t26_1-p1	14	325
TGGT1_294190-t26_1-p1	34	716
TGGT1_294200-t26_1-p1	29	560
TGGT1_294210-t26_1-p1	31	709
TGGT1_294220-t26_1-p1	33	603
TGGT1_294225-t26_1-p1	4	89
TGGT1_294230-t26_1-p1	5	108
TGGT1_294240-t26_1-p1	60	1521
TGGT1_294250-t26_1-p1	18	518
TGGT1_294260-t26_1-p1	20	479
TGGT1_294270-t26_1-p1	26	660
TGGT1_294280-t26_1-p1	46	1021
TGGT1_294285-t26_1-p1	9	161
TGGT1_294290-t26_1-p1	9	293
TGGT1_294300-t26_1-p1	4	140
TGGT1_294310-t26_1-p1	24	424
TGGT1_294320-t26_1-p1	42	931
TGGT1_294330-t26_1-p1	48	1148
TGGT1_294340-t26_1-p1	12	345
